ZIP_CODE,CITY,STATE,LAT,LONG
501,HOLTSVILLE,NY,40.8154,-73.0451
544,HOLTSVILLE,NY,40.8154,-73.0451
1001,AGAWAM,MA,42.0702,-72.6227
1002,AMHERST,MA,42.3671,-72.4646
1003,AMHERST,MA,42.3919,-72.5248
1004,AMHERST,MA,42.3845,-72.5132
1005,BARRE,MA,42.4097,-72.1084
1007,BELCHERTOWN,MA,42.2751,-72.411
1008,BLANDFORD,MA,42.1829,-72.9361
1009,BONDSVILLE,MA,42.2061,-72.3405
1010,BRIMFIELD,MA,42.1165,-72.1885
1011,CHESTER,MA,42.2794,-72.9888
1012,CHESTERFIELD,MA,42.3923,-72.8256
1013,CHICOPEE,MA,42.1487,-72.6079
1014,CHICOPEE,MA,42.1707,-72.6048
1020,CHICOPEE,MA,42.1764,-72.5761
1021,CHICOPEE,MA,42.1707,-72.6048
1022,CHICOPEE,MA,42.1934,-72.5544
1026,CUMMINGTON,MA,42.4633,-72.9202
1027,EASTHAMPTON,MA,42.2668,-72.669
1028,EAST LONGMEADOW,MA,42.0672,-72.5056
1029,EAST OTIS,MA,42.1909,-73.0517
1030,FEEDING HILLS,MA,42.0718,-72.6751
1031,GILBERTVILLE,MA,42.3322,-72.1986
1032,GOSHEN,MA,42.4404,-72.7995
1033,GRANBY,MA,42.2557,-72.52
1034,GRANVILLE,MA,42.1127,-72.952
1035,HADLEY,MA,42.3606,-72.5715
1036,HAMPDEN,MA,42.0648,-72.4318
1037,HARDWICK,MA,42.3479,-72.2253
1038,HATFIELD,MA,42.3844,-72.6167
1039,HAYDENVILLE,MA,42.3818,-72.7032
1040,HOLYOKE,MA,42.202,-72.6262
1041,HOLYOKE,MA,42.2043,-72.6162
1050,HUNTINGTON,MA,42.2653,-72.8733
1053,LEEDS,MA,42.3543,-72.7034
1054,LEVERETT,MA,42.4682,-72.4993
1056,LUDLOW,MA,42.1728,-72.471
1057,MONSON,MA,42.101,-72.3196
1059,NORTH AMHERST,MA,42.4104,-72.5309
1060,NORTHAMPTON,MA,42.3223,-72.6313
1061,NORTHAMPTON,MA,42.3696,-72.636
1062,FLORENCE,MA,42.3219,-72.6928
1063,NORTHAMPTON,MA,42.3179,-72.6402
1066,NORTH HATFIELD,MA,42.4067,-72.6339
1068,OAKHAM,MA,42.348,-72.0513
1069,PALMER,MA,42.1762,-72.3288
1070,PLAINFIELD,MA,42.5144,-72.9183
1071,RUSSELL,MA,42.1471,-72.8403
1072,SHUTESBURY,MA,42.482,-72.4213
1073,SOUTHAMPTON,MA,42.2247,-72.7194
1074,SOUTH BARRE,MA,42.3854,-72.0954
1075,SOUTH HADLEY,MA,42.2375,-72.5811
1077,SOUTHWICK,MA,42.0511,-72.7706
1079,THORNDIKE,MA,42.1929,-72.3296
1080,THREE RIVERS,MA,42.1819,-72.3624
1081,WALES,MA,42.0627,-72.2046
1082,WARE,MA,42.2618,-72.2583
1083,WARREN,MA,42.204,-72.1994
1084,WEST CHESTERFIELD,MA,42.3903,-72.8709
1085,WESTFIELD,MA,42.1251,-72.7495
1086,WESTFIELD,MA,42.1734,-72.848
1088,WEST HATFIELD,MA,42.3906,-72.6469
1089,WEST SPRINGFIELD,MA,42.1151,-72.6411
1090,WEST SPRINGFIELD,MA,42.1707,-72.6048
1092,WEST WARREN,MA,42.2029,-72.229
1093,WHATELY,MA,42.4427,-72.6525
1094,WHEELWRIGHT,MA,42.3582,-72.1408
1095,WILBRAHAM,MA,42.1245,-72.4464
1096,WILLIAMSBURG,MA,42.4085,-72.778
1097,WORONOCO,MA,42.164,-72.8295
1098,WORTHINGTON,MA,42.3843,-72.9314
1101,SPRINGFIELD,MA,42.1015,-72.5898
1102,SPRINGFIELD,MA,42.1707,-72.6048
1103,SPRINGFIELD,MA,42.1029,-72.5887
1104,SPRINGFIELD,MA,42.1288,-72.5778
1105,SPRINGFIELD,MA,42.0999,-72.5783
1106,LONGMEADOW,MA,42.0507,-72.5676
1107,SPRINGFIELD,MA,42.1179,-72.6065
1108,SPRINGFIELD,MA,42.0853,-72.5584
1109,SPRINGFIELD,MA,42.1145,-72.5543
1111,SPRINGFIELD,MA,42.1707,-72.6048
1115,SPRINGFIELD,MA,42.1029,-72.5916
1116,LONGMEADOW,MA,42.1707,-72.6048
1118,SPRINGFIELD,MA,42.0929,-72.5274
1119,SPRINGFIELD,MA,42.1247,-72.5121
1128,SPRINGFIELD,MA,42.0944,-72.4889
1129,SPRINGFIELD,MA,42.1223,-72.4876
1138,SPRINGFIELD,MA,42.1707,-72.6048
1139,SPRINGFIELD,MA,42.1707,-72.6048
1144,SPRINGFIELD,MA,42.1018,-72.5915
1151,INDIAN ORCHARD,MA,42.1532,-72.505
1152,SPRINGFIELD,MA,42.1707,-72.6048
1199,SPRINGFIELD,MA,42.1199,-72.605
1201,PITTSFIELD,MA,42.4531,-73.2471
1202,PITTSFIELD,MA,42.3929,-73.2285
1203,PITTSFIELD,MA,42.3929,-73.2285
1220,ADAMS,MA,42.6223,-73.1172
1222,ASHLEY FALLS,MA,42.0596,-73.3202
1223,BECKET,MA,42.3594,-73.1203
1224,BERKSHIRE,MA,42.5126,-73.1929
1225,CHESHIRE,MA,42.5611,-73.158
1226,DALTON,MA,42.475,-73.1603
1227,DALTON,MA,42.4737,-73.1662
1229,GLENDALE,MA,42.2793,-73.3435
1230,GREAT BARRINGTON,MA,42.1959,-73.3607
1235,HINSDALE,MA,42.4298,-73.0724
1236,HOUSATONIC,MA,42.2653,-73.3745
1237,LANESBOROUGH,MA,42.5173,-73.2282
1238,LEE,MA,42.299,-73.2317
1240,LENOX,MA,42.3642,-73.2713
1242,LENOX DALE,MA,42.3386,-73.2509
1243,MIDDLEFIELD,MA,42.3561,-73.0104
1244,MILL RIVER,MA,42.1228,-73.254
1245,MONTEREY,MA,42.1867,-73.2065
1247,NORTH ADAMS,MA,42.6955,-73.08
1252,NORTH EGREMONT,MA,42.1986,-73.4462
1253,OTIS,MA,42.1931,-73.0918
1254,RICHMOND,MA,42.3784,-73.3645
1255,SANDISFIELD,MA,42.1094,-73.1163
1256,SAVOY,MA,42.577,-73.0233
1257,SHEFFIELD,MA,42.1001,-73.3611
1258,SOUTH EGREMONT,MA,42.1012,-73.4566
1259,SOUTHFIELD,MA,42.078,-73.2609
1260,SOUTH LEE,MA,42.2779,-73.2773
1262,STOCKBRIDGE,MA,42.301,-73.3223
1263,STOCKBRIDGE,MA,42.3929,-73.2285
1264,TYRINGHAM,MA,42.22,-73.1979
1266,WEST STOCKBRIDGE,MA,42.3348,-73.3825
1267,WILLIAMSTOWN,MA,42.7089,-73.2036
1270,WINDSOR,MA,42.515,-73.0412
1301,GREENFIELD,MA,42.6013,-72.6236
1302,GREENFIELD,MA,42.5222,-72.6242
1330,ASHFIELD,MA,42.5232,-72.811
1331,ATHOL,MA,42.5959,-72.2267
1337,BERNARDSTON,MA,42.6952,-72.5772
1338,BUCKLAND,MA,42.5736,-72.8213
1339,CHARLEMONT,MA,42.608,-72.8901
1340,COLRAIN,MA,42.679,-72.7265
1341,CONWAY,MA,42.5138,-72.7025
1342,DEERFIELD,MA,42.5406,-72.6072
1343,DRURY,MA,42.6427,-72.9862
1344,ERVING,MA,42.6076,-72.4292
1346,HEATH,MA,42.6853,-72.8391
1347,LAKE PLEASANT,MA,42.5566,-72.5181
1349,MILLERS FALLS,MA,42.582,-72.4926
1350,MONROE BRIDGE,MA,42.7215,-72.9762
1351,MONTAGUE,MA,42.5429,-72.5328
1354,GILL,MA,42.6404,-72.4995
1355,NEW SALEM,MA,42.5146,-72.3062
1360,NORTHFIELD,MA,42.6887,-72.451
1364,ORANGE,MA,42.6129,-72.2924
1366,PETERSHAM,MA,42.4898,-72.1893
1367,ROWE,MA,42.6953,-72.9258
1368,ROYALSTON,MA,42.6722,-72.1964
1370,SHELBURNE FALLS,MA,42.6022,-72.7391
1373,SOUTH DEERFIELD,MA,42.4756,-72.6153
1375,SUNDERLAND,MA,42.4539,-72.5676
1376,TURNERS FALLS,MA,42.5954,-72.5557
1378,WARWICK,MA,42.6671,-72.3397
1379,WENDELL,MA,42.5656,-72.4009
1380,WENDELL DEPOT,MA,42.5534,-72.3927
1420,FITCHBURG,MA,42.5796,-71.8031
1430,ASHBURNHAM,MA,42.6496,-71.9267
1431,ASHBY,MA,42.6745,-71.8174
1432,AYER,MA,42.5591,-71.5788
1434,DEVENS,MA,42.5385,-71.6115
1436,BALDWINVILLE,MA,42.5936,-72.0646
1438,EAST TEMPLETON,MA,42.5631,-72.037
1440,GARDNER,MA,42.574,-71.9898
1441,WESTMINSTER,MA,42.5459,-71.9106
1450,GROTON,MA,42.6124,-71.5584
1451,HARVARD,MA,42.4986,-71.5753
1452,HUBBARDSTON,MA,42.4865,-72.0012
1453,LEOMINSTER,MA,42.5274,-71.7563
1460,LITTLETON,MA,42.5401,-71.4877
1462,LUNENBURG,MA,42.5884,-71.7266
